timestamp,region,provider,runtime,memorySize,parallel,duration,requestDuration,rpsMean,rpsStdev,rpsMin,rpsMedian,rpsMax,resultMean
2018-01-07T21:47:08.146Z,eu-west-3,aws,nodejs,128,1,1,2.03,477657,0,477657,477657,477657,-231
2018-01-07T21:47:10.275Z,eu-west-3,aws,nodejs,128,1,1,1.33,718013,0,718013,718013,718013,-18
2018-01-07T21:47:11.603Z,eu-west-3,aws,nodejs,128,1,1,1.33,756834,0,756834,756834,756834,-175
2018-01-07T21:47:12.933Z,eu-west-3,aws,nodejs,128,1,1,1.16,750962,0,750962,750962,750962,96
2018-01-07T21:47:14.097Z,eu-west-3,aws,nodejs,128,1,1,1.19,751836,0,751836,751836,751836,-504
2018-01-07T21:47:15.287Z,eu-west-3,aws,nodejs,128,1,1,1.17,807693,0,807693,807693,807693,325
2018-01-07T21:47:16.460Z,eu-west-3,aws,nodejs,128,1,1,1.26,773839,0,773839,773839,773839,-128
2018-01-07T21:47:17.716Z,eu-west-3,aws,nodejs,128,1,1,1.26,768574,0,768574,768574,768574,-34
2018-01-07T21:47:18.973Z,eu-west-3,aws,nodejs,128,1,1,1.17,764145,0,764145,764145,764145,-218
2018-01-07T21:47:20.140Z,eu-west-3,aws,nodejs,128,1,1,1.19,701303,0,701303,701303,701303,-73
2018-01-07T21:47:21.336Z,eu-west-3,aws,nodejs,128,2,1,1.73,524535.5,55251.2,485467,524535.5,563604,-123.5
2018-01-07T21:47:23.074Z,eu-west-3,aws,nodejs,128,2,1,1.22,593755,526.09,593383,593755,594127,-87
2018-01-07T21:47:24.298Z,eu-west-3,aws,nodejs,128,2,1,1.16,456548.5,24427,439276,456548.5,473821,-120.5
2018-01-07T21:47:25.460Z,eu-west-3,aws,nodejs,128,2,1,1.19,739925.5,1523.82,738848,739925.5,741003,167.5
2018-01-07T21:47:26.654Z,eu-west-3,aws,nodejs,128,2,1,1.18,753663.5,6305.27,749205,753663.5,758122,-70.5
2018-01-07T21:47:27.841Z,eu-west-3,aws,nodejs,128,2,1,1.17,730602.5,24121.53,713546,730602.5,747659,-55.5
2018-01-07T21:47:29.008Z,eu-west-3,aws,nodejs,128,2,1,1.15,385875.5,678.12,385396,385875.5,386355,-289
2018-01-07T21:47:30.161Z,eu-west-3,aws,nodejs,128,2,1,1.2,752362,7625.44,746970,752362,757754,-42
2018-01-07T21:47:31.362Z,eu-west-3,aws,nodejs,128,2,1,1.33,626602.5,16112.84,615209,626602.5,637996,-196
