timestamp,region,provider,runtime,memorySize,parallel,duration,requestDuration,rpsMean,rpsStdev,rpsMin,rpsMedian,rpsMax,resultMean
2018-01-11T23:46:42.493Z,eu-west-1,aws,nodejs,128,1,1,1.35,606533,0,606533,606533,606533,-232
2018-01-11T23:46:43.925Z,eu-west-1,aws,nodejs,128,1,1,1.15,747775,0,747775,747775,747775,-206
2018-01-11T23:46:45.080Z,eu-west-1,aws,nodejs,128,1,1,1.19,745692,0,745692,745692,745692,181
2018-01-11T23:46:46.273Z,eu-west-1,aws,nodejs,128,1,1,1.14,731927,0,731927,731927,731927,106
2018-01-11T23:46:47.417Z,eu-west-1,aws,nodejs,128,1,1,1.22,742498,0,742498,742498,742498,-97
2018-01-11T23:46:48.634Z,eu-west-1,aws,nodejs,128,1,1,1.22,715593,0,715593,715593,715593,52
2018-01-11T23:46:49.854Z,eu-west-1,aws,nodejs,128,1,1,1.22,749732,0,749732,749732,749732,69
2018-01-11T23:46:51.079Z,eu-west-1,aws,nodejs,128,1,1,1.23,733583,0,733583,733583,733583,-102
2018-01-11T23:46:52.307Z,eu-west-1,aws,nodejs,128,1,1,1.17,722811,0,722811,722811,722811,175
2018-01-11T23:46:53.476Z,eu-west-1,aws,nodejs,128,1,1,1.39,715037,0,715037,715037,715037,24
2018-01-11T23:46:54.870Z,eu-west-1,aws,nodejs,128,2,1,1.74,473577,35471.3,448495,473577,498659,-12
2018-01-11T23:46:56.613Z,eu-west-1,aws,nodejs,128,2,1,1.22,720425.5,20158.91,706171,720425.5,734680,-209.5
2018-01-11T23:46:57.840Z,eu-west-1,aws,nodejs,128,2,1,1.23,535623,78628.86,480024,535623,591222,-8.5
2018-01-11T23:46:59.069Z,eu-west-1,aws,nodejs,128,2,1,1.23,634046.5,19679.49,620131,634046.5,647962,-82.5
2018-01-11T23:47:00.298Z,eu-west-1,aws,nodejs,128,2,1,1.33,749775,28931.98,729317,749775,770233,-280
2018-01-11T23:47:01.624Z,eu-west-1,aws,nodejs,128,2,1,1.19,754147.5,15589.58,743124,754147.5,765171,-157.5
2018-01-11T23:47:02.825Z,eu-west-1,aws,nodejs,128,2,1,1.16,516542.5,22186.89,500854,516542.5,532231,22
2018-01-11T23:47:03.991Z,eu-west-1,aws,nodejs,128,2,1,1.22,648823,506.29,648465,648823,649181,36.5
2018-01-11T23:47:05.208Z,eu-west-1,aws,nodejs,128,2,1,1.16,747618,25803.74,729372,747618,765864,-128
2018-01-11T23:47:06.367Z,eu-west-1,aws,nodejs,128,2,1,1.21,482175,15139.16,471470,482175,492880,195
2018-01-11T23:47:07.582Z,eu-west-1,aws,nodejs,128,3,1,1.67,460365.33,91268.59,359972,482798,538326,49.67
2018-01-11T23:47:09.256Z,eu-west-1,aws,nodejs,128,3,1,1.17,590303,72910.13,535032,562941,672936,-47
2018-01-11T23:47:10.427Z,eu-west-1,aws,nodejs,128,3,1,1.17,552430.33,146021.63,454472,482559,720260,14.67
2018-01-11T23:47:11.595Z,eu-west-1,aws,nodejs,128,3,1,1.19,497858.33,167924.04,375056,429305,689214,272
2018-01-11T23:47:12.789Z,eu-west-1,aws,nodejs,128,3,1,1.18,534688,219331.36,407933,408181,787950,-151.33
2018-01-11T23:47:13.975Z,eu-west-1,aws,nodejs,128,3,1,1.16,531582,187333.49,412347,434895,747504,70.33
2018-01-11T23:47:15.134Z,eu-west-1,aws,nodejs,128,3,1,1.19,520178,167529.81,396941,452662,710931,-231.33
