timestamp,region,provider,runtime,memorySize,parallel,duration,requestDuration,rpsMean,rpsStdev,rpsMin,rpsMedian,rpsMax,resultMean
2018-01-07T23:53:35.315Z,eu-west-1,aws,nodejs,128,1,1,1.74,494932,0,494932,494932,494932,-4
2018-01-07T23:53:37.142Z,eu-west-1,aws,nodejs,128,1,1,1.15,739797,0,739797,739797,739797,47
2018-01-07T23:53:38.297Z,eu-west-1,aws,nodejs,128,1,1,1.31,708706,0,708706,708706,708706,-13
2018-01-07T23:53:39.609Z,eu-west-1,aws,nodejs,128,1,1,1.12,724394,0,724394,724394,724394,207
2018-01-07T23:53:40.736Z,eu-west-1,aws,nodejs,128,1,1,1.13,734624,0,734624,734624,734624,82
2018-01-07T23:53:41.865Z,eu-west-1,aws,nodejs,128,1,1,1.22,744334,0,744334,744334,744334,270
2018-01-07T23:53:43.092Z,eu-west-1,aws,nodejs,128,1,1,1.22,729034,0,729034,729034,729034,-25
2018-01-07T23:53:44.318Z,eu-west-1,aws,nodejs,128,1,1,1.13,739818,0,739818,739818,739818,83
2018-01-07T23:53:45.452Z,eu-west-1,aws,nodejs,128,1,1,1.12,724667,0,724667,724667,724667,-26
2018-01-07T23:53:46.574Z,eu-west-1,aws,nodejs,128,1,1,1.22,739190,0,739190,739190,739190,-148
2018-01-07T23:53:47.799Z,eu-west-1,aws,nodejs,128,2,1,1.86,608391.5,160579,494845,608391.5,721938,-266.5
2018-01-07T23:53:49.662Z,eu-west-1,aws,nodejs,128,2,1,1.21,733252,28858.44,712846,733252,753658,-117.5
2018-01-07T23:53:50.873Z,eu-west-1,aws,nodejs,128,2,1,1.23,719877,487.9,719532,719877,720222,-403.5
2018-01-07T23:53:52.101Z,eu-west-1,aws,nodejs,128,2,1,1.23,721952.5,3830.4,719244,721952.5,724661,-66
2018-01-07T23:53:53.329Z,eu-west-1,aws,nodejs,128,2,1,1.12,684323,88999.29,621391,684323,747255,183.5
2018-01-07T23:53:54.456Z,eu-west-1,aws,nodejs,128,2,1,1.23,747113.5,13746.86,737393,747113.5,756834,-112
2018-01-07T23:53:55.684Z,eu-west-1,aws,nodejs,128,2,1,1.17,736270.5,8147.99,730509,736270.5,742032,8
2018-01-07T23:53:56.858Z,eu-west-1,aws,nodejs,128,2,1,1.18,734684,12845.3,725601,734684,743767,42
2018-01-07T23:53:58.040Z,eu-west-1,aws,nodejs,128,2,1,1.13,731773,5902.93,727599,731773,735947,158
2018-01-07T23:53:59.172Z,eu-west-1,aws,nodejs,128,2,1,1.16,734432.5,12353.86,725697,734432.5,743168,8.5
2018-01-07T23:54:00.333Z,eu-west-1,aws,nodejs,128,3,1,1.7,657218,146492.22,488224,735332,748098,-103
2018-01-07T23:54:02.033Z,eu-west-1,aws,nodejs,128,3,1,1.23,729180,35043.56,691953,734058,761529,-97.33
2018-01-07T23:54:03.263Z,eu-west-1,aws,nodejs,128,3,1,1.35,748152,17768.4,728403,753210,762843,202.33
2018-01-07T23:54:04.614Z,eu-west-1,aws,nodejs,128,3,1,1.18,745363,18287.36,726774,745982,763333,-130.67
2018-01-07T23:54:05.794Z,eu-west-1,aws,nodejs,128,3,1,1.16,737904,15570.08,720029,745171,748512,-0.33
2018-01-07T23:54:06.952Z,eu-west-1,aws,nodejs,128,3,1,1.23,726590,10016.25,718443,723554,737773,153
2018-01-07T23:54:08.181Z,eu-west-1,aws,nodejs,128,3,1,1.23,743286.67,21854.82,718844,750072,760944,-87
2018-01-07T23:54:09.410Z,eu-west-1,aws,nodejs,128,3,1,1.23,698989.33,43595.76,649804,714298,732866,-76.33
2018-01-07T23:54:10.637Z,eu-west-1,aws,nodejs,128,3,1,1.19,738704.67,9207.62,728106,743275,744733,-12.33
2018-01-07T23:54:11.825Z,eu-west-1,aws,nodejs,128,3,1,1.17,740810.67,11118.96,727978,746876,747578,207.33
2018-01-07T23:54:12.992Z,eu-west-1,aws,nodejs,128,4,1,1.74,676375,125680.41,489182,728289.5,759739,-47
2018-01-07T23:54:14.735Z,eu-west-1,aws,nodejs,128,4,1,1.24,736397.75,18128.87,719208,734274.5,757834,-86.25
2018-01-07T23:54:15.981Z,eu-west-1,aws,nodejs,128,4,1,1.21,734118.5,12989.97,718851,733783.5,750056,-100.5
2018-01-07T23:54:17.194Z,eu-west-1,aws,nodejs,128,4,1,1.16,733979.25,9934.62,726643,730612.5,748049,-123.75
2018-01-07T23:54:18.356Z,eu-west-1,aws,nodejs,128,4,1,1.19,729790,17666.02,718207,722448,756057,66.75
2018-01-07T23:54:19.546Z,eu-west-1,aws,nodejs,128,4,1,1.23,729936.75,8090.59,721634,728655.5,740802,107
2018-01-07T23:54:20.779Z,eu-west-1,aws,nodejs,128,4,1,1.23,745128.25,14737.53,723201,751123,755066,144
2018-01-07T23:54:22.009Z,eu-west-1,aws,nodejs,128,4,1,1.22,733193.75,16105.32,712763,735920.5,748171,-280.25
2018-01-07T23:54:23.234Z,eu-west-1,aws,nodejs,128,4,1,1.2,735798.75,19922.67,717297,735850.5,754197,301.5
2018-01-07T23:54:24.430Z,eu-west-1,aws,nodejs,128,4,1,1.16,725981,18271.85,705136,724611,749566,54.5
2018-01-07T23:54:25.593Z,eu-west-1,aws,nodejs,128,5,1,1.7,685891.6,106353.18,496452,724217,743318,-13.2
2018-01-07T23:54:27.296Z,eu-west-1,aws,nodejs,128,5,1,1.2,744514.8,14465.57,731147,737650,761458,-38
2018-01-07T23:54:28.493Z,eu-west-1,aws,nodejs,128,5,1,1.2,738973.2,10153.54,729817,736861,756054,-24.2
2018-01-07T23:54:29.694Z,eu-west-1,aws,nodejs,128,5,1,1.22,745265.2,5993.8,737817,747113,752448,107.6
2018-01-07T23:54:30.912Z,eu-west-1,aws,nodejs,128,5,1,1.18,743940,18059.84,729121,732122,764859,76.2
2018-01-07T23:54:32.095Z,eu-west-1,aws,nodejs,128,5,1,1.18,741308.8,8174.25,734681,737727,754655,54.4
2018-01-07T23:54:33.279Z,eu-west-1,aws,nodejs,128,5,1,1.27,743179.2,17383.31,727770,733145,763108,-81.6
2018-01-07T23:54:34.554Z,eu-west-1,aws,nodejs,128,5,1,1.19,740565.4,17910.38,725585,729052,765124,-42
2018-01-07T23:54:35.747Z,eu-west-1,aws,nodejs,128,5,1,1.41,737469.6,29681.23,692895,744555,773762,20.4
2018-01-07T23:54:37.159Z,eu-west-1,aws,nodejs,128,5,1,1.24,737737.8,16710.58,723394,735514,764705,119.2
2018-01-07T23:54:38.403Z,eu-west-1,aws,nodejs,128,6,1,1.82,688451.5,96676.71,493527,723302.5,744244,-7.33
2018-01-07T23:54:40.231Z,eu-west-1,aws,nodejs,128,6,1,1.23,734407.67,24478.53,694021,739506,760564,40
2018-01-07T23:54:41.459Z,eu-west-1,aws,nodejs,128,6,1,1.27,741655,18091.21,716933,741856,764152,-143.33
2018-01-07T23:54:42.733Z,eu-west-1,aws,nodejs,128,6,1,1.2,737366,24770.45,704601,740526,765334,-107
2018-01-07T23:54:43.934Z,eu-west-1,aws,nodejs,128,6,1,1.21,731802.17,16395.03,707115,735328,749418,237.5
2018-01-07T23:54:45.145Z,eu-west-1,aws,nodejs,128,6,1,1.17,734318.33,16228.1,708940,735301,754795,-225.33
2018-01-07T23:54:46.313Z,eu-west-1,aws,nodejs,128,6,1,1.19,725589.67,12275.67,711678,724354,740749,5.33
2018-01-07T23:54:47.503Z,eu-west-1,aws,nodejs,128,6,1,1.23,732354,19710.08,702831,730671.5,761322,25.83
2018-01-07T23:54:48.735Z,eu-west-1,aws,nodejs,128,6,1,1.22,719998.17,19317.58,694378,721461.5,746343,162.17
2018-01-07T23:54:49.959Z,eu-west-1,aws,nodejs,128,6,1,1.23,726328,21782.7,700985,722077.5,765014,-45
2018-01-07T23:54:51.188Z,eu-west-1,aws,nodejs,128,7,1,1.84,705775.29,96012.67,489066,736544,752502,-116
2018-01-07T23:54:53.029Z,eu-west-1,aws,nodejs,128,7,1,1.23,723194.57,14874.83,700725,725569,742142,-50.14
2018-01-07T23:54:54.264Z,eu-west-1,aws,nodejs,128,7,1,1.23,713210.14,48028.79,606993,728688,747894,-137.86
2018-01-07T23:54:55.495Z,eu-west-1,aws,nodejs,128,7,1,1.22,731939.57,13817.01,713314,725406,747770,79.43
2018-01-07T23:54:56.716Z,eu-west-1,aws,nodejs,128,7,1,1.23,719685.29,32899.42,651914,721700,757302,-33.71
2018-01-07T23:54:57.945Z,eu-west-1,aws,nodejs,128,7,1,1.21,734928.29,17593.85,714147,735519,760580,-39.57
2018-01-07T23:54:59.152Z,eu-west-1,aws,nodejs,128,7,1,1.16,735010.14,18568.82,717380,734909,768703,8.14
2018-01-07T23:55:00.314Z,eu-west-1,aws,nodejs,128,7,1,1.22,734074.71,13574.92,718008,735602,752377,44.14
2018-01-07T23:55:01.538Z,eu-west-1,aws,nodejs,128,7,1,1.22,730953.71,17133.07,712406,732833,754818,136.71
2018-01-07T23:55:02.760Z,eu-west-1,aws,nodejs,128,7,1,1.2,737046.71,17154.03,716567,735043,765640,117
2018-01-07T23:55:03.963Z,eu-west-1,aws,nodejs,128,8,1,1.79,703522.5,88469.43,487083,728289,755448,89.88
2018-01-07T23:55:05.754Z,eu-west-1,aws,nodejs,128,8,1,1.2,730617.25,17446.71,705045,733212.5,756667,-92.25
2018-01-07T23:55:06.960Z,eu-west-1,aws,nodejs,128,8,1,2.49,721333.5,21428.07,698182,718521.5,758267,-120.88
2018-01-07T23:55:09.454Z,eu-west-1,aws,nodejs,128,8,1,1.19,745280.88,16995.19,722173,740373.5,774501,-95.13
2018-01-07T23:55:10.645Z,eu-west-1,aws,nodejs,128,8,1,1.17,739245.88,17705.45,708715,740456.5,758499,59.25
2018-01-07T23:55:11.814Z,eu-west-1,aws,nodejs,128,8,1,1.19,733370.75,12376.36,721422,730451.5,757078,109.38
2018-01-07T23:55:13.011Z,eu-west-1,aws,nodejs,128,8,1,1.21,734663.38,14161.04,710549,729891.5,755633,-35.75
2018-01-07T23:55:14.229Z,eu-west-1,aws,nodejs,128,8,1,1.23,721162.13,35513.77,639639,732989,752706,92
2018-01-07T23:55:15.459Z,eu-west-1,aws,nodejs,128,8,1,1.33,723234.5,36864.45,634757,735859.5,749076,-120.13
2018-01-07T23:55:16.786Z,eu-west-1,aws,nodejs,128,8,1,1.25,738102.25,10897.48,720322,737011,757719,77.38
2018-01-07T23:55:18.034Z,eu-west-1,aws,nodejs,128,9,1,1.82,709989.78,83069.6,489492,733079,753095,140
2018-01-07T23:55:19.857Z,eu-west-1,aws,nodejs,128,9,1,1.24,741211.22,24115.42,699842,744635,773586,-37.78
2018-01-07T23:55:21.100Z,eu-west-1,aws,nodejs,128,9,1,1.23,695366.56,75668.8,499473,724934,746984,-6.33
2018-01-07T23:55:22.334Z,eu-west-1,aws,nodejs,128,9,1,1.17,734367.11,16252.74,703806,734908,760772,-104.33
2018-01-07T23:55:23.505Z,eu-west-1,aws,nodejs,128,9,1,1.21,725286.11,16312.44,686288,726646,742157,-7.11
2018-01-07T23:55:24.713Z,eu-west-1,aws,nodejs,128,9,1,1.24,739511.33,11961.1,716785,742700,753676,-82.67
2018-01-07T23:55:25.954Z,eu-west-1,aws,nodejs,128,9,1,1.3,736251.67,11862.1,717422,738986,755465,-3.89
2018-01-07T23:55:27.258Z,eu-west-1,aws,nodejs,128,9,1,1.21,733370.44,20072.79,708731,729948,763372,-3.11
2018-01-07T23:55:28.473Z,eu-west-1,aws,nodejs,128,9,1,1.22,721589.22,24061.49,667644,725788,747077,86.22
2018-01-07T23:55:29.695Z,eu-west-1,aws,nodejs,128,9,1,1.23,739838.67,14281.5,723054,739360,767467,81.78
2018-01-07T23:55:30.927Z,eu-west-1,aws,nodejs,128,10,1,2.12,694936.9,77876.4,494050,721227,745679,-171.3
2018-01-07T23:55:33.054Z,eu-west-1,aws,nodejs,128,10,1,1.18,716373.2,80655.36,492112,740945,766632,31.8
2018-01-07T23:55:34.233Z,eu-west-1,aws,nodejs,128,10,1,2.2,730511.5,24026.81,694164,734487.5,769871,-200.1
2018-01-07T23:55:36.434Z,eu-west-1,aws,nodejs,128,10,1,1.35,731830.1,15195.93,712343,727440.5,762383,75.5
2018-01-07T23:55:37.783Z,eu-west-1,aws,nodejs,128,10,1,1.25,737306.4,16453.57,708107,734947.5,767004,4.2
2018-01-07T23:55:39.035Z,eu-west-1,aws,nodejs,128,10,1,1.21,739003.6,15521.01,717069,742797.5,759717,-20.1
2018-01-07T23:55:40.248Z,eu-west-1,aws,nodejs,128,10,1,1.22,727894,17752.87,693336,728168,755623,22.5
2018-01-07T23:55:41.468Z,eu-west-1,aws,nodejs,128,10,1,1.35,732711,10611.01,716378,733114,750525,-56.8
2018-01-07T23:55:42.823Z,eu-west-1,aws,nodejs,128,10,1,1.21,732714.1,16193.63,707644,730767,762042,35.1
2018-01-07T23:55:44.031Z,eu-west-1,aws,nodejs,128,10,1,1.16,715518.2,37336.6,613394,725552.5,741307,-61.8
2018-01-07T23:55:45.196Z,eu-west-1,aws,nodejs,128,11,1,2.11,688565.18,99845.22,486576,732887,751479,-45.82
2018-01-07T23:55:47.307Z,eu-west-1,aws,nodejs,128,11,1,1.3,724364.18,14655.43,702894,726096,743235,77.82
2018-01-07T23:55:48.612Z,eu-west-1,aws,nodejs,128,11,1,2.18,731490.73,16391.61,708959,731003,760157,-86.45
2018-01-07T23:55:50.793Z,eu-west-1,aws,nodejs,128,11,1,1.32,726642.73,15163.7,703268,724565,754344,-83.45
2018-01-07T23:55:52.112Z,eu-west-1,aws,nodejs,128,11,1,1.23,741651.45,18722.74,714935,742139,781781,63.55
2018-01-07T23:55:53.344Z,eu-west-1,aws,nodejs,128,11,1,1.29,728152.91,21472.12,697697,726593,767815,73
2018-01-07T23:55:54.632Z,eu-west-1,aws,nodejs,128,11,1,1.24,725607.45,33720.88,631486,733923,753037,127.09
2018-01-07T23:55:55.872Z,eu-west-1,aws,nodejs,128,11,1,1.24,709949.91,75564.49,495737,721151,764527,-58.18
2018-01-07T23:55:57.113Z,eu-west-1,aws,nodejs,128,11,1,1.2,740406.55,18366.65,709540,732131,770765,-68.45
2018-01-07T23:55:58.313Z,eu-west-1,aws,nodejs,128,11,1,1.22,730993.45,18755.21,703407,722039,763053,11.45
2018-01-07T23:55:59.534Z,eu-west-1,aws,nodejs,128,12,1,2.72,714106.75,73540.79,486456,731375.5,767292,24.08
2018-01-07T23:56:02.256Z,eu-west-1,aws,nodejs,128,12,1,1.2,726065.67,16313.87,699271,727796,754078,-3.25
2018-01-07T23:56:03.453Z,eu-west-1,aws,nodejs,128,12,1,1.28,732513.58,15034.53,711302,730000,759837,71
2018-01-07T23:56:04.732Z,eu-west-1,aws,nodejs,128,12,1,2.23,734563.17,19703.81,685335,735690.5,758937,65.17
