timestamp,region,provider,runtime,memorySize,parallel,duration,requestDuration,rpsMean,rpsStdev,rpsMin,rpsMedian,rpsMax,resultMean
2018-01-11T23:46:38.756Z,West Europe,azure,nodejs,128,1,1,1.27,299938,0,299938,299938,299938,-42
2018-01-11T23:46:40.117Z,West Europe,azure,nodejs,128,1,1,1.2,305519,0,305519,305519,305519,-35
2018-01-11T23:46:41.316Z,West Europe,azure,nodejs,128,1,1,1.16,319071,0,319071,319071,319071,186
2018-01-11T23:46:42.475Z,West Europe,azure,nodejs,128,1,1,1.35,328994,0,328994,328994,328994,174
2018-01-11T23:46:43.828Z,West Europe,azure,nodejs,128,1,1,1.21,320325,0,320325,320325,320325,-87
2018-01-11T23:46:45.044Z,West Europe,azure,nodejs,128,1,1,1.22,312191,0,312191,312191,312191,146
2018-01-11T23:46:46.269Z,West Europe,azure,nodejs,128,1,1,1.12,326740,0,326740,326740,326740,-108
2018-01-11T23:46:47.393Z,West Europe,azure,nodejs,128,1,1,1.23,313092,0,313092,313092,313092,-239
2018-01-11T23:46:48.631Z,West Europe,azure,nodejs,128,1,1,1.22,317675,0,317675,317675,317675,-120
2018-01-11T23:46:49.852Z,West Europe,azure,nodejs,128,1,1,1.22,331830,0,331830,331830,331830,97
2018-01-11T23:46:51.079Z,West Europe,azure,nodejs,128,2,1,2.25,304322,5738.88,300264,304322,308380,116
2018-01-11T23:46:53.338Z,West Europe,azure,nodejs,128,2,1,2.46,317807,3017.93,315673,317807,319941,59
2018-01-11T23:46:55.800Z,West Europe,azure,nodejs,128,2,1,2.22,308726.5,7845.35,303179,308726.5,314274,55.5
2018-01-11T23:46:58.024Z,West Europe,azure,nodejs,128,2,1,2.4,306291,11911.92,297868,306291,314714,-130
2018-01-11T23:47:00.421Z,West Europe,azure,nodejs,128,2,1,2.23,316680,19401.6,302961,316680,330399,-34.5
2018-01-11T23:47:02.650Z,West Europe,azure,nodejs,128,2,1,2.14,292643,29121.49,272051,292643,313235,4
2018-01-11T23:47:04.790Z,West Europe,azure,nodejs,128,2,1,2.16,276194,58156.7,235071,276194,317317,-44.5
2018-01-11T23:47:06.953Z,West Europe,azure,nodejs,128,2,1,2.25,330007.5,11955.05,321554,330007.5,338461,145
2018-01-11T23:47:09.205Z,West Europe,azure,nodejs,128,2,1,2.28,312086,9466.75,305392,312086,318780,200
2018-01-11T23:47:11.488Z,West Europe,azure,nodejs,128,2,1,2.13,300606.5,31425.95,278385,300606.5,322828,-103.5
2018-01-11T23:47:13.624Z,West Europe,azure,nodejs,128,3,1,3.22,308306.33,12736.22,297846,304584,322489,-256
2018-01-11T23:47:16.842Z,West Europe,azure,nodejs,128,3,1,3.21,302714.67,39963.23,267342,294737,346065,-105
2018-01-11T23:47:20.057Z,West Europe,azure,nodejs,128,3,1,3.13,346708.33,7940.44,338148,348144,353833,28.67
2018-01-11T23:47:23.190Z,West Europe,azure,nodejs,128,3,1,3.23,328783,5725.01,323279,328364,334706,-110.67
2018-01-11T23:47:26.420Z,West Europe,azure,nodejs,128,3,1,3.16,335462.33,11620.19,322048,341904,342435,-29.67
2018-01-11T23:47:29.581Z,West Europe,azure,nodejs,128,3,1,3.12,364929,8775.45,355684,365959,373144,169.67
2018-01-11T23:47:32.702Z,West Europe,azure,nodejs,128,3,1,3.23,370981,4372.21,366359,371533,375051,40
2018-01-11T23:47:35.932Z,West Europe,azure,nodejs,128,3,1,3.14,368646,8613.53,358752,372713,374473,25.67
2018-01-11T23:47:39.072Z,West Europe,azure,nodejs,128,3,1,3.14,350345,4708.24,346816,348528,355691,170.67
2018-01-11T23:47:42.214Z,West Europe,azure,nodejs,128,3,1,3.11,359331.33,13315.52,346557,358308,373129,-101.67
2018-01-11T23:47:45.323Z,West Europe,azure,nodejs,128,4,1,4.22,360804.5,12662.66,343494,364310.5,371103,6.25
2018-01-11T23:47:49.548Z,West Europe,azure,nodejs,128,4,1,4.2,365097.75,17023.21,349877,363004.5,384505,64.25
2018-01-11T23:47:53.748Z,West Europe,azure,nodejs,128,4,1,4.16,357003.25,15463.92,335685,360283.5,371761,-229
2018-01-11T23:47:57.912Z,West Europe,azure,nodejs,128,4,1,4.17,369460,4885.66,362550,370882.5,373525,122.25
2018-01-11T23:48:02.082Z,West Europe,azure,nodejs,128,4,1,4.16,365428.25,2364.63,362768,365402,368141,49.5
2018-01-11T23:48:06.241Z,West Europe,azure,nodejs,128,4,1,4.15,345634.75,8041.8,336902,346009.5,353618,-22.75
2018-01-11T23:48:10.391Z,West Europe,azure,nodejs,128,4,1,4.24,343801.5,9643.27,333961,343265.5,354714,-11.25
2018-01-11T23:48:14.641Z,West Europe,azure,nodejs,128,4,1,4.2,358991.75,10368.57,345145,360671.5,369479,-3.25
2018-01-11T23:48:18.839Z,West Europe,azure,nodejs,128,4,1,4.12,359613.5,5725.88,351095,362053.5,363252,-48.75
2018-01-11T23:48:22.960Z,West Europe,azure,nodejs,128,4,1,4.27,344686,16143.23,326793,343598,364755,30
2018-01-11T23:48:27.234Z,West Europe,azure,nodejs,128,5,1,5.13,345767.4,23639.6,315521,353955,371458,157.8
2018-01-11T23:48:32.365Z,West Europe,azure,nodejs,128,5,1,5.16,364583.6,14817.41,338567,369282,375274,29
2018-01-11T23:48:37.527Z,West Europe,azure,nodejs,128,5,1,5.13,351611.2,6966.85,345449,348849,359232,63.4
2018-01-11T23:48:42.658Z,West Europe,azure,nodejs,128,5,1,5.14,357401,5845.08,350852,357506,366622,-57.6
2018-01-11T23:48:47.798Z,West Europe,azure,nodejs,128,5,1,5.35,350095.4,10782.04,336332,349185,361969,206.8
2018-01-11T23:48:53.145Z,West Europe,azure,nodejs,128,5,1,5.22,360536.2,12892.31,347169,358632,378530,7
2018-01-11T23:48:58.374Z,West Europe,azure,nodejs,128,5,1,5.22,353556.6,6456.29,346471,356637,360886,-16.4
2018-01-11T23:49:03.598Z,West Europe,azure,nodejs,128,5,1,5.21,352319.4,3774.54,347548,354430,355628,40.8
2018-01-11T23:49:08.807Z,West Europe,azure,nodejs,128,5,1,5.13,344283.6,9717.25,332126,348622,355219,-44.8
2018-01-11T23:49:13.942Z,West Europe,azure,nodejs,128,5,1,5.22,330115,19800.39,300485,330236,355902,20
2018-01-11T23:49:19.162Z,West Europe,azure,nodejs,128,6,1,6.14,352786.83,5939.1,343548,351807.5,360513,-91.33
2018-01-11T23:49:25.300Z,West Europe,azure,nodejs,128,6,1,6.16,315772.67,45111.33,254452,330930.5,360973,-106
2018-01-11T23:49:31.466Z,West Europe,azure,nodejs,128,6,1,6.15,293373.5,23682.12,261102,302799.5,316464,25.5
2018-01-11T23:49:37.616Z,West Europe,azure,nodejs,128,6,1,6.18,354584,8840.92,342733,354786,369137,28.5
2018-01-11T23:49:43.803Z,West Europe,azure,nodejs,128,6,1,6.16,360235.17,7960.79,349961,360416.5,370008,-57.83
2018-01-11T23:49:49.962Z,West Europe,azure,nodejs,128,6,1,6.16,359983.33,11399.29,339875,362264,373795,-37.83
2018-01-11T23:49:56.120Z,West Europe,azure,nodejs,128,6,1,6.14,351775.5,20136.03,328437,344945.5,380201,-11.33
2018-01-11T23:50:02.261Z,West Europe,azure,nodejs,128,6,1,6.14,353507.83,10685.93,341907,352493.5,367334,45
2018-01-11T23:50:08.406Z,West Europe,azure,nodejs,128,6,1,7.21,358240.67,8726.75,349152,357172,372413,-46
2018-01-11T23:50:15.622Z,West Europe,azure,nodejs,128,6,1,9.27,348993.5,17854.89,314039,353625,363660,35.83
2018-01-11T23:50:24.891Z,West Europe,azure,nodejs,128,7,1,7.17,348249,15612.53,320322,348300,367045,-103.14
2018-01-11T23:50:32.062Z,West Europe,azure,nodejs,128,7,1,7.27,356818,17369.38,326295,355183,374895,0.86
2018-01-11T23:50:39.330Z,West Europe,azure,nodejs,128,7,1,7.17,345961.43,10390.22,328952,349255,355499,-52
2018-01-11T23:50:46.501Z,West Europe,azure,nodejs,128,7,1,7.27,362119.86,6687.85,350140,364726,368399,4.29
2018-01-11T23:50:53.768Z,West Europe,azure,nodejs,128,7,1,7.17,338708,42503.98,262496,354446,376700,6.14
2018-01-11T23:51:00.944Z,West Europe,azure,nodejs,128,7,1,7.16,357973,10510.79,339418,356546,372274,-66
2018-01-11T23:51:08.106Z,West Europe,azure,nodejs,128,7,1,7.13,358304.57,10832.12,349386,355768,380273,-19.71
2018-01-11T23:51:15.242Z,West Europe,azure,nodejs,128,7,1,7.21,353696.57,12889.97,338140,351756,374423,-34.29
2018-01-11T23:51:22.459Z,West Europe,azure,nodejs,128,7,1,7.15,348508.43,10339.29,335427,347406,362693,-92
2018-01-11T23:51:29.610Z,West Europe,azure,nodejs,128,7,1,7.27,358114.29,9552.42,346579,359656,375300,-41.43
2018-01-11T23:51:36.879Z,West Europe,azure,nodejs,128,8,1,8.16,350622.38,20522.76,321694,346416.5,382780,-52
2018-01-11T23:51:45.038Z,West Europe,azure,nodejs,128,8,1,8.22,360581.63,9184.96,343726,361247,370109,-32.13
2018-01-11T23:51:53.263Z,West Europe,azure,nodejs,128,8,1,8.2,346065.88,25815.83,284606,352969,367718,54.38
2018-01-11T23:52:01.461Z,West Europe,azure,nodejs,128,8,1,8.19,362029.63,5190.62,355834,361662,368652,-150.63
2018-01-11T23:52:09.649Z,West Europe,azure,nodejs,128,8,1,8.2,350181.75,5972.38,340786,348912.5,358349,-114.88
2018-01-11T23:52:17.853Z,West Europe,azure,nodejs,128,8,1,8.13,349927.25,7601.58,340206,349929,360339,-21.63
2018-01-11T23:52:25.990Z,West Europe,azure,nodejs,128,8,1,8.54,334019,34187.8,261206,346789.5,366655,-9.75
2018-01-11T23:52:34.532Z,West Europe,azure,nodejs,128,8,1,8.29,356946,11870.1,334665,359876.5,372662,23.38
2018-01-11T23:52:42.825Z,West Europe,azure,nodejs,128,8,1,8.13,359994.25,10360.84,337102,362227,371847,69.5
2018-01-11T23:52:50.956Z,West Europe,azure,nodejs,128,8,1,8.2,359817.5,14030.4,338984,360791.5,380280,-42.75
2018-01-11T23:52:59.159Z,West Europe,azure,nodejs,128,9,1,9.16,353522,18871.73,314274,362024,375321,-22.22
2018-01-11T23:53:08.327Z,West Europe,azure,nodejs,128,9,1,9.25,348356.33,16713.42,319310,351334,375558,-49
2018-01-11T23:53:17.585Z,West Europe,azure,nodejs,128,9,1,9.27,354578.22,10573.69,338976,356339,370562,103.33
2018-01-11T23:53:26.862Z,West Europe,azure,nodejs,128,9,1,9.16,352201.56,17086.99,328481,351834,380562,80.89
2018-01-11T23:53:36.022Z,West Europe,azure,nodejs,128,9,1,9.16,360021.33,11381,344140,358447,376216,-0.44
2018-01-11T23:53:45.189Z,West Europe,azure,nodejs,128,9,1,9.32,346704.56,21924.93,296491,351454,378749,-18.33
2018-01-11T23:53:54.507Z,West Europe,azure,nodejs,128,9,1,9.17,351628.56,11733.9,335593,346902,369730,-133.22
2018-01-11T23:54:03.681Z,West Europe,azure,nodejs,128,9,1,9.25,355267.11,16556.03,334675,353563,384093,58.78
2018-01-11T23:54:12.939Z,West Europe,azure,nodejs,128,9,1,9.13,358195.56,13109.63,341372,361474,374250,-9
2018-01-11T23:54:22.077Z,West Europe,azure,nodejs,128,9,1,9.29,350911.11,17997.76,324539,354795,376959,-30
2018-01-11T23:54:31.370Z,West Europe,azure,nodejs,128,10,1,10.18,357560.8,15398.7,334234,357218,381071,47
2018-01-11T23:54:41.555Z,West Europe,azure,nodejs,128,10,1,10.15,347917.8,11846.51,330495,346847,369277,-9.4
2018-01-11T23:54:51.713Z,West Europe,azure,nodejs,128,10,1,10.17,349433.7,9458.9,333259,351416,362207,46
2018-01-11T23:55:01.890Z,West Europe,azure,nodejs,128,10,1,10.18,362282,13928,340820,361093.5,384288,-49.1
2018-01-11T23:55:12.073Z,West Europe,azure,nodejs,128,10,1,10.17,356946.9,16885.23,320950,362112.5,375564,-53.2
2018-01-11T23:55:22.243Z,West Europe,azure,nodejs,128,10,1,10.26,339162.5,20995.5,290690,338706.5,362635,-12.5
2018-01-11T23:55:32.504Z,West Europe,azure,nodejs,128,10,1,10.24,352720.3,32458.67,267016,359775.5,379003,-62.7
2018-01-11T23:55:42.742Z,West Europe,azure,nodejs,128,10,1,10.24,363452.8,8762.39,346120,366091.5,372570,-74.9
2018-01-11T23:55:52.984Z,West Europe,azure,nodejs,128,10,1,10.14,330458.4,29394.35,267017,339157.5,363518,-66.3
2018-01-11T23:56:03.128Z,West Europe,azure,nodejs,128,10,1,10.33,350275.6,13977.47,320561,351577.5,364881,41.8
2018-01-11T23:56:13.464Z,West Europe,azure,nodejs,128,11,1,11.28,351952.82,11871.26,326223,354174,366966,-42.18
